AKAN,ENGLISH,Act,Scene,Campbell Stage,Justification,Boon,Dilemma,Campbell Stages,Justifications,Boons,Dilemmas
"Te’ nse se, nse se o","We do not really mean, we do not really mean (that what we are going to say is true).",Act I: The Seclusion,Scene 1: Introduction of Akwasi and Aso,1. The Call to Adventure,The sentence introduces a challenge or opportunity for the hero to embark on a journey.,The opportunity to achieve greatness or fulfill a need.,Risking comfort to pursue the unknown.,['1. The Call to Adventure'],The sentence introduces a challenge or opportunity for the hero to embark on a journey.,The opportunity to achieve greatness or fulfill a need.,Risking comfort to pursue the unknown.
SEDIE EYOYE A KWAKU ANANSE OBENYA ASO AWADEE,HOW KWAKU ANANSE (THE SPIDER) GOT ASO IN MARRIAGE,Act I: The Seclusion,Scene 1: Introduction of Akwasi and Aso,1. The Call to Adventure,The sentence introduces a challenge or opportunity for the hero to embark on a journey.,The opportunity to achieve greatness or fulfill a need.,Risking comfort to pursue the unknown.,['1. The Call to Adventure'],The sentence introduces a challenge or opportunity for the hero to embark on a journey.,The opportunity to achieve greatness or fulfill a need.,Risking comfort to pursue the unknown.
"OBARIMA bi na owoo ho, ye’free no Akwasi Ninkunfuo, na ne yere ne Aso, na ompe se obi behuno Aso, anase obi bekasa no ho.","There once lived a certain man called Akwasi‐the‐jealous‐one, and his wife was Aso, and he did not want anyone to see Aso or speak to her.",Act I: The Seclusion,Scene 1: Introduction of Akwasi and Aso,1. The Call to Adventure,The sentence introduces a challenge or opportunity for the hero to embark on a journey.,The opportunity to achieve greatness or fulfill a need.,Risking comfort to pursue the unknown.,"['1. The Call to Adventure', '2. Refusal of the Call']",The sentence introduces a challenge or opportunity for the hero to embark on a journey.; The sentence reflects hesitation or fear to accept the call.,The opportunity to achieve greatness or fulfill a need.; The chance to prepare emotionally for the journey.,Risking comfort to pursue the unknown.; Overcoming reluctance and fear of change.
Nti oko kyekyeree akura ne Aso tenaam’.,So he went and built a small settlement for Aso to live in.,Act I: The Seclusion,Scene 1: Introduction of Akwasi and Aso,1. The Call to Adventure,The sentence introduces a challenge or opportunity for the hero to embark on a journey.,The opportunity to achieve greatness or fulfill a need.,Risking comfort to pursue the unknown.,['1. The Call to Adventure'],The sentence introduces a challenge or opportunity for the hero to embark on a journey.,The opportunity to achieve greatness or fulfill a need.,Risking comfort to pursue the unknown.
Akura no ase obiara nko ho.,No one ever went into the village.,Act I: The Seclusion,Scene 1: Introduction of Akwasi and Aso,2. Refusal of the Call,The sentence reflects hesitation or fear to accept the call.,The chance to prepare emotionally for the journey.,Overcoming reluctance and fear of change.,['2. Refusal of the Call'],The sentence reflects hesitation or fear to accept the call.,The chance to prepare emotionally for the journey.,Overcoming reluctance and fear of change.
Ono Akwasi Ninkunfuo no ye okerawa.,"Now he, Akwasi‐the‐jealous‐one, could not beget children.",Act I: The Seclusion,Scene 1: Introduction of Akwasi and Aso,2. Refusal of the Call,The sentence reflects hesitation or fear to accept the call.,The chance to prepare emotionally for the journey.,Overcoming reluctance and fear of change.,['2. Refusal of the Call'],The sentence reflects hesitation or fear to accept the call.,The chance to prepare emotionally for the journey.,Overcoming reluctance and fear of change.
"Sa nti onim se, se one no tena kurom’ a, obi befa no.","Because of that, if he stayed in town with her, someone would take her away.",Act I: The Seclusion,Scene 1: Introduction of Akwasi and Aso,2. Refusal of the Call,The sentence reflects hesitation or fear to accept the call.,The chance to prepare emotionally for the journey.,Overcoming reluctance and fear of change.,['2. Refusal of the Call'],The sentence reflects hesitation or fear to accept the call.,The chance to prepare emotionally for the journey.,Overcoming reluctance and fear of change.
"Nyankonpon ka kyeree mmerantee se, “Akwasi Ninkunfuo aware Aso da‐da‐da; one no nnwo ‘ba, nti dee obetimi ako fa Aso ne no anyinsen, omfa no.”","The Sky‐god told the young men, “Akwasi‐the‐jealous‐one has long been married to Aso, but she has not borne him a child. So whoever can make her conceive should go take her (as his wife).”",Act I: The Seclusion,Scene 1: Introduction of Akwasi and Aso,2. Refusal of the Call,The sentence reflects hesitation or fear to accept the call.,The chance to prepare emotionally for the journey.,Overcoming reluctance and fear of change.,['2. Refusal of the Call'],The sentence reflects hesitation or fear to accept the call.,The chance to prepare emotionally for the journey.,Overcoming reluctance and fear of change.
"Mmerantee no nnyina boo mmoden se ye’nsa beka no, nanso obiara antimi.","All the young men tried their best to lay hands on her, but no one was able.",Act I: The Seclusion,Scene 1: Introduction of Akwasi and Aso,3. Supernatural Aid,The sentence describes external assistance or a guiding figure providing tools or wisdom.,Guidance or tools to navigate the journey.,Balancing reliance on aid with personal effort.,['3. Supernatural Aid'],The sentence describes external assistance or a guiding figure providing tools or wisdom.,Guidance or tools to navigate the journey.,Balancing reliance on aid with personal effort.
"Kwaku Ananse wo ho’a, osee, “Me‐timi m’ako Akwasi Ninkunfuo kurom’.”","Kwaku Ananse was there observing these events, and he said, “I can go to Akwasi‐the‐jealous‐one’s village.”",Act I: The Seclusion,Scene 1: Introduction of Akwasi and Aso,3. Supernatural Aid,The sentence describes external assistance or a guiding figure providing tools or wisdom.,Guidance or tools to navigate the journey.,Balancing reliance on aid with personal effort.,['3. Supernatural Aid'],The sentence describes external assistance or a guiding figure providing tools or wisdom.,Guidance or tools to navigate the journey.,Balancing reliance on aid with personal effort.
